gridSize,budgetPlayer1,budgetPlayer2,winner,duration,movesCount,algorithmPlayer1,algorithmPlayer2,nodeCountPlayer1,nodeCountPlayer2,ravePlayerOne,ravePlayerTwo,seedPlayerOne,seedPlayerTwo
10,16,17,1,1036615596,97,MCTS,MCTS,39931,41672,false,false,1743067645320,1743067645320
10,16,17,1,833502394,91,MCTS,MCTS,39672,41283,false,false,1743067645547,1743067645547
10,16,17,2,816474362,70,MCTS,MCTS,36470,38120,false,false,1743067645591,1743067645591
10,16,17,1,823958901,89,MCTS,MCTS,39622,41201,false,false,1743067645607,1743067645607
10,16,17,2,821121505,64,MCTS,MCTS,34880,36476,false,false,1743067645636,1743067645636
10,16,17,1,1003433520,95,MCTS,MCTS,39904,41612,false,false,1743067645546,1743067645546
10,16,17,2,776908444,64,MCTS,MCTS,34880,36476,false,false,1743067645804,1743067645804
10,16,17,1,896637261,93,MCTS,MCTS,39709,41522,false,false,1743067645770,1743067645770
10,16,17,1,1214504413,99,MCTS,MCTS,39964,41687,false,false,1743067645458,1743067645458
10,16,17,1,1057921751,91,MCTS,MCTS,39623,41391,false,false,1743067645670,1743067645670
10,16,17,1,981922328,91,MCTS,MCTS,39664,41359,false,false,1743067645793,1743067645793
10,16,17,1,1081188591,91,MCTS,MCTS,39576,41391,false,false,1743067645739,1743067645739
10,16,17,1,873561320,97,MCTS,MCTS,39846,41676,false,false,1743067645947,1743067645947
10,16,17,2,970591389,80,MCTS,MCTS,38480,40158,false,false,1743067645872,1743067645872
10,16,17,1,886302954,95,MCTS,MCTS,39833,41617,false,false,1743067645979,1743067645979
10,16,17,1,1021632801,93,MCTS,MCTS,39728,41522,false,false,1743067645904,1743067645904
10,16,17,2,928755643,88,MCTS,MCTS,39511,41179,false,false,1743067646152,1743067646152
10,16,17,1,969192110,95,MCTS,MCTS,39825,41607,false,false,1743067646141,1743067646141
10,16,17,1,1132981045,97,MCTS,MCTS,39935,41670,false,false,1743067646006,1743067646006
10,16,17,2,809717399,72,MCTS,MCTS,36936,38600,false,false,1743067646356,1743067646356
10,16,17,1,847344073,93,MCTS,MCTS,39708,41522,false,false,1743067646381,1743067646381
10,16,17,2,817570585,96,MCTS,MCTS,39960,41643,false,false,1743067646431,1743067646431
10,16,17,2,760977775,48,MCTS,MCTS,29232,30596,false,false,1743067646581,1743067646581
10,16,17,1,1002854344,97,MCTS,MCTS,39846,41548,false,false,1743067646408,1743067646408
10,16,17,1,1100348433,91,MCTS,MCTS,39645,41391,false,false,1743067646357,1743067646357
10,16,17,1,794169238,95,MCTS,MCTS,39822,41607,false,false,1743067646667,1743067646667
10,16,17,1,960083858,93,MCTS,MCTS,39660,41522,false,false,1743067646549,1743067646549
10,16,17,1,1058693616,93,MCTS,MCTS,39753,41522,false,false,1743067646457,1743067646457
10,16,17,2,930204128,82,MCTS,MCTS,38786,40398,false,false,1743067646673,1743067646673
10,16,17,2,834183108,66,MCTS,MCTS,35442,37058,false,false,1743067646776,1743067646776
10,16,17,2,961313814,80,MCTS,MCTS,38480,40180,false,false,1743067646728,1743067646728
10,16,17,2,890753305,84,MCTS,MCTS,39060,40766,false,false,1743067646865,1743067646865
10,16,17,2,936000375,86,MCTS,MCTS,39302,40994,false,false,1743067646821,1743067646821
10,16,17,2,947928310,86,MCTS,MCTS,39302,40994,false,false,1743067646821,1743067646821
10,16,17,2,707769688,64,MCTS,MCTS,34880,36476,false,false,1743067647110,1743067647110
10,16,17,2,908785063,72,MCTS,MCTS,36936,38600,false,false,1743067646927,1743067646927
10,16,17,2,1025243337,80,MCTS,MCTS,38480,40180,false,false,1743067646843,1743067646843
10,16,17,1,973553502,95,MCTS,MCTS,39864,41612,false,false,1743067647139,1743067647139
10,16,17,1,1109491958,97,MCTS,MCTS,39905,41665,false,false,1743067647082,1743067647082
10,16,17,2,780866271,82,MCTS,MCTS,38786,40086,false,false,1743067647411,1743067647411
10,16,17,1,1060742415,93,MCTS,MCTS,39766,41522,false,false,1743067647166,1743067647166
10,16,17,1,1006651869,91,MCTS,MCTS,39594,41391,false,false,1743067647229,1743067647229
10,16,17,2,1078081522,100,MCTS,MCTS,39930,41692,false,false,1743067647249,1743067647249
10,16,17,2,595719857,48,MCTS,MCTS,29232,30542,false,false,1743067647756,1743067647756
10,16,17,2,954810002,84,MCTS,MCTS,39060,40748,false,false,1743067647461,1743067647461
10,16,17,1,828048178,93,MCTS,MCTS,39790,41522,false,false,1743067647603,1743067647603
10,16,17,2,994925089,76,MCTS,MCTS,37772,39458,false,false,1743067647458,1743067647458
10,16,17,1,1115486031,93,MCTS,MCTS,39655,41494,false,false,1743067647342,1743067647342
10,16,17,2,868406029,88,MCTS,MCTS,39468,40989,false,false,1743067647610,1743067647610
10,16,17,1,1015942523,97,MCTS,MCTS,39859,41676,false,false,1743067647510,1743067647510
10,16,17,1,1057511623,99,MCTS,MCTS,39908,41690,false,false,1743067647516,1743067647516
10,16,17,1,965402440,91,MCTS,MCTS,39693,41340,false,false,1743067647690,1743067647690
10,16,17,1,870340216,93,MCTS,MCTS,39741,41522,false,false,1743067647868,1743067647868
10,16,17,2,925300945,98,MCTS,MCTS,39946,41680,false,false,1743067647836,1743067647836
10,16,17,2,999508550,86,MCTS,MCTS,39302,40978,false,false,1743067647819,1743067647819
10,16,17,1,1065763897,97,MCTS,MCTS,39926,41670,false,false,1743067647757,1743067647757
10,16,17,1,1100139585,95,MCTS,MCTS,39832,41617,false,false,1743067647769,1743067647769
10,16,17,1,993678279,97,MCTS,MCTS,39900,41670,false,false,1743067648113,1743067648113
10,16,17,1,893423469,95,MCTS,MCTS,39808,41617,false,false,1743067648236,1743067648236
10,16,17,2,720761078,60,MCTS,MCTS,33660,35210,false,false,1743067648453,1743067648453
10,16,17,1,990924606,91,MCTS,MCTS,39729,41337,false,false,1743067648191,1743067648191
10,16,17,2,998389984,94,MCTS,MCTS,39757,41574,false,false,1743067648192,1743067648192
